text,word,language,pair_type,domain,author,meaning
"In considering being, Democritus argues that λόγος is fundamental to understanding reality.",λόγος,greek,etymological,philosophy,Democritus,"reason, discourse, principle"
Heraclitus's analysis reveals λόγος as the foundation of matter.,λόγος,greek,etymological,metaphysics,Heraclitus,"reason, discourse, principle"
The metaphysical status of λόγος determines our grasp of space.,λόγος,greek,etymological,metaphysics,Plato,"reason, discourse, principle"
Democritus shows how λόγος transcends mere unity.,λόγος,greek,etymological,metaphysics,Democritus,"reason, discourse, principle"
Plato shows how λόγος transcends mere matter.,λόγος,greek,etymological,metaphysics,Plato,"reason, discourse, principle"
"When discussing wisdom, Epicurus emphasizes how λόγος relates to human knowledge.",λόγος,greek,etymological,philosophy,Epicurus,"reason, discourse, principle"
Chrysippus's analysis reveals λόγος as the foundation of plurality.,λόγος,greek,etymological,metaphysics,Chrysippus,"reason, discourse, principle"
Epicurus defines λόγος as the principle underlying mind.,λόγος,greek,etymological,philosophy,Epicurus,"reason, discourse, principle"
"When discussing nature, Plato emphasizes how λόγος relates to human knowledge.",λόγος,greek,etymological,philosophy,Plato,"reason, discourse, principle"
The nature of λόγος plays a central role in Aristotle's theory of virtue.,λόγος,greek,etymological,philosophy,Aristotle,"reason, discourse, principle"
"When discussing being, Parmenides emphasizes how λόγος relates to human knowledge.",λόγος,greek,etymological,philosophy,Parmenides,"reason, discourse, principle"
Chrysippus defines λόγος as the principle underlying nature.,λόγος,greek,etymological,philosophy,Chrysippus,"reason, discourse, principle"
Zeno defines λόγος as the principle underlying reality.,λόγος,greek,etymological,philosophy,Zeno,"reason, discourse, principle"
"Through λόγος, we can understand the true nature of form.",λόγος,greek,etymological,metaphysics,Parmenides,"reason, discourse, principle"
Epicurus shows how λόγος transcends mere form.,λόγος,greek,etymological,metaphysics,Epicurus,"reason, discourse, principle"
"When discussing mind, Aristotle emphasizes how λόγος relates to human knowledge.",λόγος,greek,etymological,philosophy,Aristotle,"reason, discourse, principle"
