Greek,Latin,similarity,pair_type,greek_contexts,latin_contexts
λόγος,ratio,0.82272553,etymological,2,1
σοφία,sapientia,0.8290755,etymological,2,1
νοῦς,intellectus,0.7515386,etymological,2,1
φύσις,natura,0.83234096,etymological,2,3
αἰτία,causa,0.7929635,etymological,2,2
οὐσία,essentia,0.6516439,etymological,2,1
τέχνη,ars,0.86791605,etymological,2,1
λόγος,corpus,0.84230256,etymological,2,1
σοφία,bellum,0.85143864,etymological,2,1
νοῦς,mare,0.79580045,etymological,2,2
φύσις,urbs,0.757112,etymological,2,1
αἰτία,flos,0.7845483,etymological,2,1
οὐσία,ventus,0.77189356,etymological,2,1
τέχνη,silva,0.853784,etymological,2,1
λόγος,anima,0.83025175,control,2,1
σοφία,natura,0.847128,control,2,3
νοῦς,causa,0.7449318,control,2,2
φύσις,virtus,0.80987006,control,2,1
αἰτία,ars,0.83534425,control,2,1
οὐσία,mare,0.7609528,control,2,2
τέχνη,principium,0.85357064,control,2,3
λόγος,sapientia,0.83361167,control,2,1
σοφία,essentia,0.7098444,control,2,1
νοῦς,urbs,0.73925614,control,2,1
φύσις,intellectus,0.78541374,control,2,1
αἰτία,tempus,0.8278188,control,2,2
οὐσία,nox,0.7665798,control,2,1
τέχνη,ventus,0.8700408,control,2,1
