Greek,Latin,similarity,pair_type,greek_contexts,latin_contexts
λόγος,ratio,0.7614034030056058,etymological,100,50
ψυχή,anima,0.8117837228762094,etymological,100,50
σοφία,sapientia,0.7293975231961347,etymological,100,50
νοῦς,intellectus,0.8113379191191366,etymological,100,50
ἀρετή,virtus,0.7968354007083824,etymological,100,50
φύσις,natura,0.7833780226540694,etymological,50,50
οὐσία,essentia,0.799207579181188,etymological,50,50
ἀλήθεια,veritas,0.8135159071531963,etymological,50,50
δικαιοσύνη,iustitia,0.8141678863221619,etymological,50,50
ἐπιστήμη,scientia,0.8198096044425213,etymological,50,50
ἀρετή,res,0.8003062787755507,control,100,50
λόγος,tempus,0.7500371391581647,control,100,50
ψυχή,corpus,0.7763051019658684,control,100,50
σοφία,vita,0.72821569250224,control,100,50
νοῦς,mors,0.7985536765786879,control,100,50
